WindowGainTransformed,HDDAirToHeatTransformed,HeatLossThroughDoorsWindowsWallsRoofFloorTransformed,WindowGainNTransformed,WindowGainSTransformed,WindowGainETransformed,WindowGainWTransformed,LightingWattHoursTransformed,OccupancyHoursTransformed,PlugLoadWattHoursTransformed,RefrigeratorWattHoursTransformed,DishwasherWattHoursTransformed,ClotheswasherWattHoursTransformed,DryerWattHoursTransformed,StoveWattsHoursTransformed,Location_HDD,Location_Humidity,Location_Solar,RoofInsulationRTransformed,FloorInsulationRTransformed,ExposedAreaNTransformed,ExposedAreaSTransformed,ExposedAreaETransformed,ExposedAreaWTransformed,WallInsulationRTransformed,WindowAreaNTransformed,WindowAreaSTransformed,WindowAreaETransformed,WindowAreaWTransformed,DoorAreaNTransformed,DoorAreaSTransformed,DoorAreaETransformed,DoorAreaWTransformed,ExteriorDoorInsulationRTransformed,GlazingUTransformed,GlazingSHGCNorthTransformed,GlazingSHGCSouthTransformed,GlazingSHGCEastTransformed,GlaszingSHGCWestTransformed,VolumeTransformed,NorthWallSunExposureTransformed,SouthWallSunExposureTransformed,EastWallSunExposureTransformed,WestWallSunExposureTransformed,LightingHours,OccupancyHours,PlugLoadHours,DishwasherHours,ClotheswasherHours,StoveHours,DHWhours,NumberOfPeople,Gas,Name,CeilingBoundaryCondition,ClothesWasherWatts,DHWEff,DHWPeakFlow,DHWtype,DimX,DimZ,DishwasherWatts,DryerWatts,EastWallSunExposure,ExhaustFanEfficiency,ExhaustFanFlowRate,ExteriorDoorInsulationR,FloorBoundaryCondition,FloorInsulationR,FractionExE,FractionExN,FractionExS,FractionExW,FractionOpE,FractionOpN,FractionOpS,FractionOpW,FractionWinE,FractionWinN,FractionWinS,FractionWinW,GasStoveWatts,GlazingSHGCEast,GlazingSHGCNorth,GlazingSHGCSouth,GlazingSHGCWest,GlazingU,HeatingCOP,HeatingEff,HVACFanEfficiency,HVACtype,InfiltrationACH,InfiltrationCalcMethod,InfiltrationPerFloorArea,LightingWatts,NorthAxis,NorthWallSunExposure,OAflowperM2,PlugWattsPerM2,RefrigeratorWatts,RoofInsulationR,RoofMembraneSolarAbs,SouthWallSunExposure,SpaceType,StoveType,StoveWatts,VerticalOrigin,WallInsideLayer,WallInsulationR,WestWallSunExposure,Scored Labels,DeltaPercent
1705.968,87436.8,77550.61248,0,1421.64,0,284.328,364976.64,25844,120257.28,2803200,219000,62700,940500,195700,506,76.7,3949,1000,1000,12,24,14.4,4.8,0.5,0.12,2.4,0,0.144,1.08,9.6,1.44,1.296,0.5,6,0.6,0.15,0,0.5,115.2,0,1,0,1,2263,6461,803,730,209,365,195.7,4,11.929044,USA_TX_Corpus.Christi.Intl.AP.722510_TMY3,Adiabatic,300,0.75,8.10E-05,Gas,4.8,5,300,4500,NoSun,0,0,0.5,Adiabatic,2,0.6,0.5,1,0.2,0.1,0.1,0.5,0.3,0,0.1,0.2,0.1,3600,0.4,0.6,0.15,0.5,6,0,0.95,0.9,accool-gasheat,1.5,AirChanges/Hour,0,7,75,NoSun,0.0003,6.5,320,8,0.1,SunExposed,MF_2bedroom_affordable,stoveelectric,1000,52,12IN Concrete HW,0.5,SunExposed,11.87034607,0.492058967
0,137713.75,450893.8125,0,0,0,0,1189489.375,16152.5,759738.375,350400,145950,31200,468000,0.18144,1310,41,6659,1,5,10.875,14.5,0,29,1,0.32625,1.16,0,0,0.76125,1.74,0,26.1,1,6,0.7,0.1,0,0,525.625,0,0,1,1,2263,6461,803,417,156,256,165.3,2.5,42.061851,USA_TX_El.Paso.Intl.AP.722700_TMY3,Outdoors,200,0.7,8.10E-05,Electricity,14.5,2.5,350,3000,SunExposed,0,0,1,Outdoors,5,0,0.3,0.4,0.8,0.7,0.1,0.2,0.9,1,0.3,0.4,0,3200,0.2,0.7,0.1,0.6,6,0,0.9,0.8,accool-gasheat,0.2,AirChanges/Hour,0,2.5,75,NoSun,0.0002,4.5,40,1,0.4,NoSun,MF_1bedroom_affordable,stovegas,1600,52,G01a 19mm gypsum board,1,SunExposed,40.45617676,3.817412225
42915.7575,645529.5,173534.724,0,16793.1225,0,26122.635,1031079.375,16152.5,951253.875,1752000,41700,78000,312000,0.369,506,76.7,3949,5,1000,47.25,47.25,42.525,33.075,4,8.505,14.175,1.701,16.5375,0.945,33.075,2.5515,0,2,6,0.8,0.3,0.6,0.4,637.875,0,1,0,1,2263,6461,803,417,156,256,165.3,2.5,44.777543,USA_TX_Corpus.Christi.Intl.AP.722510_TMY3,Outdoors,500,1,0.000123,Electricity,13.5,3.5,100,2000,NoSun,0,0,2,Adiabatic,6,0.9,1,1,0.7,0.1,0.2,1,0.5,0.4,0.9,0.3,1,3000,0.6,0.8,0.3,0.4,6,0,1,0.3,accool-gasheat,2,AirChanges/Hour,0,2.5,15,NoSun,0.0006,6.5,200,5,0.7,SunExposed,MF_1bedroom_affordable,stovegas,1800,26,8IN Concrete HW,4,SunExposed,43.35502625,3.176853082
3790.9152,416793.6,112450.5411,0,2056.0896,1734.8256,0,458257.5,51688,292693.5,2102400,219000,62700,522500,0.43681,804,67.3,4462,1000,1.5,28.8,14.4,2.88,25.92,10,2.304,2.304,2.592,0,9.216,9.216,0.288,20.736,1.4,7,0.7,0.2,0.15,0,259.2,0,1,1,0,2263,6461,803,730,209,365,256.5,8,28.181879,USA_TX_San.Antonio.Intl.AP.722530_TMY3,Adiabatic,300,0.95,0.000121,Electricity,9,3.2,300,2500,SunExposed,0,0,1.4,Outdoors,1.5,0.1,1,0.5,0.9,1,0.4,0.8,0.8,0.9,0.2,0.2,0,3800,0.15,0.7,0.2,0.4,7,3.8,0.8,0.3,accool-gasheat,2,AirChanges/Hour,0,2.5,75,NoSun,0.0001,4.5,240,6,0.8,SunExposed,MF_4bedroom_affordable,stovegas,1000,26,G01a 19mm gypsum board,10,NoSun,28.27745819,0.339151236
7172.1504,411283.125,1041231.394,0,2689.5564,0,4482.594,327003.5,16152.5,312130.115,1401600,125100,78000,624000,0.26208,1265,64,4883,0.1,1000,10.2,15.3,12.75,5.1,10,0,3.672,8.925,2.295,0,5.508,3.825,0.255,1.4,6,0,0.15,0.5,0.4,216.75,1,1,0,1,2263,6461,803,417,156,256,165.3,2.5,46.581372,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3,Outdoors,500,0.9,9.10E-05,Gas,8.5,3,300,4000,NoSun,0,0,1.4,Adiabatic,5,0.5,0.4,0.6,0.2,1,0,0.6,0.5,0.7,0.1,0.4,0.9,3200,0.5,0.3,0.15,0.4,6,0,1,0.4,accool-gasheat,1.5,AirChanges/Hour,0,2,75,SunExposed,0.0001,5.38,160,0.1,0.4,SunExposed,MF_1bedroom_affordable,stovegas,2000,0,G01a 19mm gypsum board,10,SunExposed,46.74292374,0.346816183
776.388,84520.5,144401.9095,0,776.388,0,0,2378978.75,51688,759738.375,2102400,219000,104500,940500,410400,804,67.3,4462,9,9,29,7.25,43.5,43.5,7,2.61,0.435,9.135,3.045,0.29,1.015,21.315,1.305,1,6,0.15,0.4,0.5,0.5,1051.25,0,1,0,0,2263,6461,803,730,209,365,256.5,8,4.301833401,USA_TX_San.Antonio.Intl.AP.722530_TMY3,Outdoors,500,0.7,0.000111,Electricity,14.5,5,300,4500,NoSun,0,0,1,Outdoors,9,0.6,0.4,0.1,0.6,0.7,0.1,0.2,0.1,0.3,0.9,0.3,0.7,3800,0.5,0.15,0.4,0.5,6,0,0.9,0.7,accool-gasheat,0.1,AirChanges/Hour,0,5,0,NoSun,0.0002,4.5,240,9,0.8,SunExposed,MF_4bedroom_affordable,stoveelectric,1600,10,8IN Concrete HW,7,NoSun,4.263789654,0.884361236
0,30785.04,1099579.796,0,0,0,0,795489.76,38766,97709.04,2102400,292000,125400,418000,256500,1265,64,4883,1000,0.1,46.8,28.08,4.68,42.12,4,0,14.04,0.4212,22.7448,46.8,0,3.7908,2.5272,0.1,1,0,0.3,0.4,0.7,243.36,1,0,0,0,2263,6461,803,730,209,365,256.5,6,31.413791,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3,Adiabatic,600,0.9,0.000111,Gas,5.2,9,400,2000,NoSun,0,0,0.1,Outdoors,0.1,0.1,1,0.6,0.9,0.9,1,0.5,0.6,0.1,0,1,0.9,3200,0.4,0.8,0.3,0.7,1,0,0.95,0.5,accool-gasheat,0.1,AirChanges/Hour,0,13,89,SunExposed,0.001,4.5,240,5,0.3,NoSun,MF_3bedroom_affordable,stoveelectric,1000,26,8IN Concrete HW,4,NoSun,28.29858589,9.916679933
9534.52836,70300.872,35281.22136,9109.422,425.10636,0,0,107479.8,23216,121558.14,1051200,73000,125400,940500,513000,774,73.1,3878,1000,3,26.1,5.22,15.66,36.54,9,4.698,0.1566,7.83,19.7316,3.132,1.4094,0,13.1544,2,0.5,0.5,0.7,0.2,0.3,302.76,1,1,0,0,1278,5804,803,730,209,365,256.5,4,7.56195,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3,Adiabatic,600,0.95,4.10E-05,Gas,5.8,9,100,4500,NoSun,0,0,2,Outdoors,3,0.3,0.5,0.1,0.7,0.5,0.3,0.3,0.9,1,0.6,0.1,0.6,3800,0.2,0.5,0.7,0.3,0.5,0,0.9,0.5,accool-gasheat,0.3,AirChanges/Hour,0,2.5,15,SunExposed,0.0004,4.5,120,6,0.4,SunExposed,MF_3bedroom,stoveelectric,2000,26,G01a 19mm gypsum board,9,NoSun,8.958753586,18.47147344
7485.76896,100213.6,102056.3435,5574.5088,0,119.45376,1791.8064,230679,17412,326118.375,2452800,73000,104500,940500,0.31122,694,70.9,4366,2,1000,21.28,9.12,3.04,3.04,4,8.512,7.296,0.2736,1.368,8.512,0,0.6384,0.152,1.7,5,0.15,0.15,0.1,0.3,288.8,1,0,1,1,1278,5804,803,730,209,365,195.7,3,14.140119,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3,Outdoors,500,0.95,9.10E-05,Electricity,9.5,3.2,100,4500,SunExposed,0,0,1.7,Adiabatic,6,0.1,0.7,0.3,0.1,0.3,0.8,0.8,0.5,0.3,0.5,1,0.9,3600,0.1,0.15,0.15,0.3,5,0,0.9,0.8,accool-gasheat,0.5,AirChanges/Hour,0,2,45,SunExposed,0.001,4.5,280,2,0.7,NoSun,MF_2bedroom,stovegas,1000,52,8IN Concrete HW,4,SunExposed,13.83379078,2.166376541
4626.2016,166717.44,111755.6443,0,0,4626.2016,0,323896.32,17412,120257.28,2102400,146000,62700,1045000,0.16592,804,67.3,4462,8,1000,2.16,21.6,21.6,19.44,8,0.4536,2.16,10.368,1.7496,0.1944,19.44,6.912,15.7464,1.7,7,0.5,0.15,0.1,0.8,103.68,0,0,1,0,1278,5804,803,730,209,365,195.7,3,23.835732,USA_TX_San.Antonio.Intl.AP.722530_TMY3,Outdoors,300,0.8,6.10E-05,Gas,4.8,4.5,200,5000,SunExposed,0,0,1.7,Adiabatic,4,1,0.1,1,0.9,0.8,0.3,1,0.9,0.6,0.7,0.1,0.1,3400,0.1,0.5,0.15,0.8,7,0,0.7,0.9,accool-gasheat,2,AirChanges/Hour,0,11,89,NoSun,0.0001,6.5,240,8,0.2,NoSun,MF_2bedroom,stovegas,1600,10,8IN Concrete HW,8,NoSun,23.35115623,2.032980423
